URL_length,parameter_maxlen,digit_percentage,letter_percentage,parameter_number,XSS_count,evil_char_count,char_0,char_13,char_14,char_16,char_17,char_18,char_20,char_21,word_4,word_5,word_6,word_7,word_8,word_9,word_10,word_11,word_12,word_13,label
77,70,0.012987,0.662338,1,8,23,2,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,1
61,41,0.114754,0.540984,2,4,21,1,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,1
92,51,0.032609,0.695652,4,5,25,6,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,1
110,100,0.009091,0.745455,1,6,27,2,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,1
47,41,0.0,0.744681,1,6,12,1,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,1
102,93,0.0,0.72549,1,6,28,1,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,1
73,33,0.0,0.780822,3,4,16,2,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,1
139,61,0.0,0.76259,5,8,33,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1
87,75,0.045977,0.666667,1,8,25,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1
82,51,0.012195,0.646341,3,6,28,3,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1
41,39,0.073171,0.682927,1,4,10,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1
100,94,0.0,0.81,1,8,19,2,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1
553,20,0.283906,0.349005,4,14,203,3,5,6,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1
62,55,0.096774,0.66129,1,5,15,1,5,6,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1
41,39,0.0,0.780488,1,6,9,2,5,6,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1
828,792,0.48913,0.094203,3,5,345,3,5,6,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1
42,40,0.0,0.571429,1,5,18,6,5,6,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1
238,1,0.12605,0.584034,1,14,69,3,5,6,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1
43,32,0.023256,0.72093,1,5,11,2,5,6,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1
85,23,0.0,0.705882,3,4,24,2,5,6,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1
59,39,0.016949,0.79661,2,6,11,2,5,6,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1
47,45,0.042553,0.659574,1,4,14,2,5,6,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1
97,91,0.103093,0.680412,1,6,21,2,5,6,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1
49,47,0.020408,0.714286,1,2,13,1,5,6,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1
54,47,0.018519,0.759259,1,5,12,3,5,6,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1
54,44,0.185185,0.574074,1,4,13,1,5,6,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1
38,34,0.0,0.684211,1,4,12,3,5,6,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1
78,37,0.051282,0.74359,4,4,16,1,5,6,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1
48,46,0.020833,0.729167,1,2,12,1,5,6,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1
82,45,0.036585,0.743902,3,5,18,1,5,6,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1
182,179,0.021978,0.626374,1,5,64,1,5,6,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1
103,42,0.058252,0.669903,3,4,28,2,5,6,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1
